@relation Training-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute ID numeric
@attribute score_tag {P,N,NEU,NONE,P+,N+}
@attribute agreement {DISAGREEMENT,AGREEMENT}
@attribute subjectivity {SUBJECTIVE,OBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute happy numeric
@attribute angry numeric
@attribute bored numeric
@attribute fear numeric
@attribute sad numeric
@attribute excited numeric
@attribute Class {0,1}

@data
48,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.306161,0.112771,0.058297,0.171461,0.130022,0.221288,1
49,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.09664,0.480635,0.047491,0.126103,0.095127,0.154003,0
50,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.21888,0.105619,0,0.209116,0.0806,0.385786,0
51,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.149087,0.201263,0.054359,0.214225,0.194719,0.186347,0
52,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.043237,0.434267,0.118759,0.128052,0.221562,0.054123,0
53,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.203213,0.169679,0.106104,0.199716,0.12206,0.199228,1
54,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.083376,0.255786,0.054225,0.256506,0.198125,0.151983,0
55,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.162612,0.124957,0.060108,0.275412,0.166181,0.21073,0
56,NEU,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.201351,0.188373,0.029892,0.160404,0.177909,0.242071,1
57,NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.093209,0.180395,0.018282,0.313426,0.271571,0.123117,0
58,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.180759,0.184487,0.059532,0.181326,0.088076,0.305821,1
59,N,DISAGREEMENT,OBJECTIVE,92,NONIRONIC,0.123064,0.102432,0.052741,0.359457,0.21199,0.150316,1
60,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.140238,0.226663,0.023026,0.103751,0.069654,0.436668,1
61,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.035543,0.407714,0.047987,0.195561,0.256485,0.056711,1
62,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.068169,0.156484,0.075471,0.3402,0.232202,0.127474,0
63,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.168854,0.145845,0.07905,0.213881,0.181176,0.211194,0
64,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.279015,0.130824,0.062833,0.230326,0.059661,0.237341,0
65,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.044319,0.262869,0.065234,0.305359,0.202875,0.119345,0
66,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.37276,0.133553,0.011971,0.10846,0.035292,0.337964,0
67,P,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.163291,0.290822,0.054926,0.12343,0.138338,0.229192,0
68,P,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.163344,0.306105,0.076164,0.148537,0.112335,0.193516,1
69,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.128315,0.230522,0.058916,0.202964,0.216852,0.162431,0
70,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.081462,0.236124,0.11844,0.217242,0.249265,0.097467,0
71,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.150604,0.26241,0.058282,0.198077,0.133516,0.197112,0
72,NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.281461,0.15837,0.03664,0.138856,0.073055,0.311618,0
73,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.086585,0.118368,0.012109,0.403775,0.140633,0.238531,0
74,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.099591,0.297037,0.090632,0.11937,0.272803,0.120567,1
75,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.133246,0.162749,0.131996,0.252013,0.141382,0.178613,0
76,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.04762,0.242181,0.083188,0.27659,0.240129,0.110291,1
77,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.122528,0.260044,0.045958,0.191277,0.165455,0.214738,0
78,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.086228,0.268235,0.110527,0.217981,0.190952,0.126076,0
79,NEU,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.077399,0.364327,0.068465,0.180635,0.209704,0.09947,1
80,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.248644,0.197121,0.024122,0.135762,0.046987,0.347364,1
81,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.128859,0.200571,0.109012,0.2186,0.190197,0.152761,0
82,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.260387,0.165204,0.050414,0.085431,0.046343,0.392221,0
83,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.186004,0.162292,0,0.322863,0.152462,0.176379,1
84,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.269768,0.036273,0.006442,0.040737,0.026423,0.620358,0
85,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.056665,0.169477,0.267983,0.198319,0.177691,0.129865,0
86,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.073326,0.311922,0.051513,0.221913,0.20347,0.137857,1
87,NEU,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.155029,0.263717,0.036367,0.16083,0.164596,0.219462,1
88,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.320517,0.067178,0.071117,0.158181,0.071202,0.311805,0
89,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.149557,0.211805,0.140643,0.173339,0.145421,0.179235,0
90,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.153141,0.254343,0.073852,0.167632,0.098233,0.252799,0
91,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.516256,0.067896,0.018149,0.085795,0.064655,0.24725,0
92,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.274315,0.143051,0.02615,0.074839,0.026516,0.45513,1
93,P,DISAGREEMENT,OBJECTIVE,91,NONIRONIC,0.106645,0.258966,0.074623,0.211698,0.098722,0.249346,1
94,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.336734,0.053501,0,0.185754,0.06594,0.358071,0
95,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.182454,0.138663,0.034709,0.201646,0.106848,0.335679,0
96,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.081299,0.199346,0.1377,0.226419,0.209284,0.145952,0
97,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0639,0.2645,0.121862,0.182765,0.229846,0.137127,0
98,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.130995,0.154481,0.073668,0.206721,0.303702,0.130433,0
99,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.134411,0.106061,0.367273,0.18176,0.154248,0.056246,1
100,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.089159,0.106944,0.044715,0.129374,0.518143,0.111664,0
101,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.059905,0.299785,0.083593,0.159874,0.316445,0.080399,0
102,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.061511,0.452871,0.034334,0.121942,0.15938,0.169962,1
103,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.022018,0.627155,0.038691,0.115227,0.148287,0.048622,1
104,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.091302,0.221245,0.141458,0.291719,0.129991,0.124286,0
105,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.12705,0.132762,0.04526,0.287342,0.235607,0.171979,0
106,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.056292,0.457477,0.091282,0.135466,0.1718,0.087682,1
107,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.156694,0.248766,0.044031,0.200792,0.206544,0.143173,0
108,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.19703,0.17096,0.10647,0.186233,0.144722,0.194584,0
109,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.121583,0.224489,0.172977,0.215527,0.157793,0.107631,0
110,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.051885,0.301976,0.062504,0.199603,0.306384,0.077648,0
111,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.180807,0.154953,0.040829,0.168927,0.164181,0.290303,1
112,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.209569,0.146368,0.084058,0.192814,0.163377,0.203814,0
113,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.111801,0.271964,0.13575,0.157993,0.158715,0.163778,0
114,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.291756,0.212434,0.022616,0.077587,0.085147,0.310461,1
115,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.152734,0.268492,0.035788,0.124111,0.160607,0.258267,0
116,NEU,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.077771,0.125266,0,0.138609,0.515006,0.143349,1
117,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.108645,0.33775,0.104875,0.15866,0.150677,0.139392,0
118,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.112313,0.248687,0.083745,0.18511,0.200478,0.169667,0
119,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.187333,0.20672,0.076724,0.106827,0.054708,0.367689,1
120,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.207799,0.196445,0.038034,0.151363,0.091768,0.314591,0
121,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.094893,0.201821,0.161857,0.203071,0.16892,0.169439,0
122,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.244039,0.166398,0.082291,0.149085,0.124488,0.233699,0
123,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.060391,0.165318,0.121841,0.219621,0.356836,0.075994,0
124,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.088997,0.288096,0.021843,0.275139,0.24345,0.082475,1
125,NEU,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.194755,0.139232,0.059282,0.198567,0.123813,0.284352,1
126,P,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.216437,0.081768,0.010734,0.080782,0.020769,0.58951,1
127,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.032542,0.257836,0.052664,0.295499,0.269104,0.092355,0
128,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.224735,0.239257,0.038451,0.107776,0.085338,0.304443,0
129,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.109222,0.340399,0.063123,0.16458,0.194838,0.127839,1
130,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.107535,0.301627,0.038624,0.171559,0.266559,0.114097,0
131,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.09219,0.273316,0.127067,0.19984,0.200673,0.102161,1
132,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.168008,0.235472,0.05569,0.180475,0.159987,0.200369,0
133,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.100936,0.337844,0.077463,0.151107,0.175095,0.157555,0
134,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.071438,0.175189,0.125703,0.378871,0.044021,0.204778,0
135,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.057077,0.323226,0.046819,0.16506,0.337182,0.070635,0
136,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.186104,0.184295,0.040672,0.187716,0.088201,0.313012,0
137,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.043759,0.513916,0.03787,0.149202,0.122414,0.132838,0
138,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.181519,0.161417,0.072934,0.178275,0.134384,0.271471,0
139,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.216906,0.239776,0.04146,0.129593,0.081079,0.291186,0
140,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.096925,0.344322,0.073789,0.156894,0.192375,0.135694,1
141,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.148293,0.236764,0.06661,0.171806,0.14579,0.230738,0
142,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.195766,0.129688,0.169706,0.167841,0.129203,0.207796,1
143,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.181045,0.287304,0,0.142576,0.122425,0.26665,1
144,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.274823,0.132617,0.066241,0.120658,0.076751,0.328909,1
145,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.131619,0.232537,0.168513,0.166169,0.154769,0.146394,1
146,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.034297,0.533909,0.030968,0.126257,0.235489,0.03908,0
147,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.231821,0.142596,0.055226,0.145643,0.086152,0.338562,0
148,P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.28062,0.184434,0.050623,0.17725,0.096606,0.210466,1
149,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.057561,0.285989,0.057939,0.240245,0.271948,0.086319,0
150,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.039624,0.352654,0.0329,0.098183,0.168161,0.308478,1
151,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.159175,0.156309,0.063635,0.228453,0.139847,0.252582,1
152,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.362771,0.043436,0.013527,0.109953,0.030799,0.439514,1
153,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.103657,0.235781,0.0475,0.216961,0.165521,0.23629,0
154,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.130873,0.295282,0.06866,0.136026,0.084987,0.284172,1
155,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.185739,0.170196,0.027993,0.155744,0.296761,0.163567,1
156,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.218523,0.063615,0.026122,0.219726,0.224959,0.247054,0
157,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.080838,0.321671,0.086394,0.163168,0.171094,0.176836,1
158,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.070172,0.206184,0.152812,0.20491,0.254365,0.111558,0
159,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.449383,0.078447,0.005051,0.059667,0.012248,0.395204,0
160,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.224411,0.149905,0.08117,0.169935,0.105711,0.268868,1
161,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.075541,0.2392,0.06549,0.224351,0.249643,0.145774,0
162,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.114737,0.207563,0.050264,0.201871,0.256106,0.169459,0
163,NEU,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.06681,0.42914,0.180551,0.107429,0.125638,0.090431,1
164,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.025714,0.143776,0.535485,0.130488,0.126359,0.038179,0
165,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.160626,0.257876,0.073673,0.136088,0.128652,0.243085,0
166,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.156015,0.170511,0.080556,0.221027,0.184021,0.18787,0
167,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.095789,0.310785,0,0.215447,0.185314,0.192665,1
168,NEU,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.041399,0.503264,0.067306,0.15817,0.137299,0.092563,1
169,NEU,DISAGREEMENT,SUBJECTIVE,90,NONIRONIC,0.171372,0.089782,0.029492,0.275306,0.10456,0.329488,1
170,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.153776,0.256792,0.029138,0.211078,0.173393,0.175824,1
171,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.045359,0.163903,0.109104,0.371577,0.225386,0.084671,1
172,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.191892,0.217274,0.073502,0.138114,0.160754,0.218464,0
173,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.076527,0.352637,0.02169,0.267692,0.160197,0.121257,0
174,N,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.140649,0.158807,0.037049,0.101215,0.072989,0.489291,1
175,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.269626,0.100083,0.162871,0.107344,0.042839,0.317238,0
176,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.072501,0.325054,0.05648,0.214255,0.240376,0.091333,0
177,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.089465,0.070659,0.477017,0.104294,0.118588,0.139977,0
178,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.115235,0.298115,0.061989,0.150629,0.203861,0.170169,1
179,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.268356,0.126281,0.035811,0.174423,0.085613,0.309516,0
180,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.167879,0.193551,0.078918,0.236193,0.164367,0.159092,0
181,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.107073,0.271,0.141871,0.176363,0.200406,0.103288,1
182,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.059295,0.42426,0.072352,0.174947,0.124593,0.144553,0
183,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.210231,0.088604,0.040485,0.108542,0.017763,0.534374,1
184,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.40294,0.051168,0.018063,0.073467,0.088933,0.365429,1
185,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.259888,0.211078,0.048591,0.114325,0.064192,0.301925,0
186,N,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.138849,0.247117,0.035768,0.196482,0.143753,0.238031,0
187,N,DISAGREEMENT,OBJECTIVE,92,NONIRONIC,0.306376,0.130422,0,0.155586,0.119769,0.287846,1
188,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.129388,0.230388,0.05982,0.191232,0.194313,0.194859,1
189,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.076234,0.287342,0.051631,0.18298,0.32024,0.081573,1
190,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.060425,0.128014,0.01183,0.232353,0.504888,0.062491,1
191,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.163792,0.113712,0.105794,0.288588,0.126226,0.201888,0
192,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.10432,0.215624,0.136725,0.188459,0.229301,0.125571,0
193,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.189644,0.226109,0.046254,0.164107,0.115551,0.258334,1
194,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.050844,0.206422,0.020253,0.43733,0.223829,0.061322,0
195,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.14066,0.312866,0.035113,0.150165,0.131971,0.229224,0
196,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.25542,0.099162,0.074147,0.140232,0.122573,0.308466,1
197,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.320652,0.152117,0,0.15949,0.174718,0.193022,1
198,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.191314,0.245632,0.042522,0.197859,0.137346,0.185327,0
199,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.185254,0.307146,0.096676,0.115668,0.122571,0.172686,0
200,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.471972,0.05882,0.014016,0.0501,0.020314,0.384777,1
201,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.098028,0.38432,0.046294,0.190884,0.129607,0.150867,1
202,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.269015,0.151956,0,0.152954,0.174549,0.251526,1
203,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.196028,0.080843,0.02895,0.288661,0.142032,0.263486,0
204,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.146178,0.213941,0.055926,0.165538,0.104572,0.313845,0
205,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.06117,0.382506,0.090192,0.18632,0.186934,0.092877,0
