@relation CorrelationAttributeEvalRanker-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute ID numeric
@attribute agreement {DISAGREEMENT,AGREEMENT}
@attribute subjectivity {SUBJECTIVE,OBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute angry numeric
@attribute fear numeric
@attribute Class {0,1}

@data
58,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.184487,0.181326,1
59,DISAGREEMENT,OBJECTIVE,92,NONIRONIC,0.102432,0.359457,1
60,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.226663,0.103751,1
61,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.407714,0.195561,1
62,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.156484,0.3402,0
63,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.145845,0.213881,0
64,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.130824,0.230326,0
65,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.262869,0.305359,0
66,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.133553,0.10846,0
67,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.290822,0.12343,0
68,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.306105,0.148537,1
69,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.230522,0.202964,0
70,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.236124,0.217242,0
71,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.26241,0.198077,0
72,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.15837,0.138856,0
73,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.118368,0.403775,0
74,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.297037,0.11937,1
75,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.162749,0.252013,0
76,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.242181,0.27659,1
77,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.260044,0.191277,0
78,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.268235,0.217981,0
79,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.364327,0.180635,1
80,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.197121,0.135762,1
81,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.200571,0.2186,0
82,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.165204,0.085431,0
83,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.162292,0.322863,1
84,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.036273,0.040737,0
85,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.169477,0.198319,0
86,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.311922,0.221913,1
87,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.263717,0.16083,1
88,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.067178,0.158181,0
89,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.211805,0.173339,0
90,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.254343,0.167632,0
91,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.067896,0.085795,0
92,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.143051,0.074839,1
93,DISAGREEMENT,OBJECTIVE,91,NONIRONIC,0.258966,0.211698,1
94,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.053501,0.185754,0
95,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.138663,0.201646,0
96,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.199346,0.226419,0
97,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.2645,0.182765,0
98,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.154481,0.206721,0
99,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.106061,0.18176,1
100,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.106944,0.129374,0
101,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.299785,0.159874,0
102,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.452871,0.121942,1
103,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.627155,0.115227,1
104,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.221245,0.291719,0
105,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.132762,0.287342,0
106,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.457477,0.135466,1
107,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.248766,0.200792,0
108,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.17096,0.186233,0
109,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.224489,0.215527,0
110,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.301976,0.199603,0
111,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.154953,0.168927,1
112,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.146368,0.192814,0
113,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.271964,0.157993,0
114,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.212434,0.077587,1
115,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.268492,0.124111,0
116,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.125266,0.138609,1
117,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.33775,0.15866,0
118,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.248687,0.18511,0
119,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.20672,0.106827,1
120,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.196445,0.151363,0
121,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.201821,0.203071,0
122,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.166398,0.149085,0
123,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.165318,0.219621,0
124,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.288096,0.275139,1
125,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.139232,0.198567,1
126,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.081768,0.080782,1
127,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.257836,0.295499,0
128,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.239257,0.107776,0
129,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.340399,0.16458,1
130,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.301627,0.171559,0
131,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.273316,0.19984,1
132,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.235472,0.180475,0
133,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.337844,0.151107,0
134,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.175189,0.378871,0
135,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.323226,0.16506,0
136,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.184295,0.187716,0
137,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.513916,0.149202,0
138,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.161417,0.178275,0
139,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.239776,0.129593,0
140,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.344322,0.156894,1
141,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.236764,0.171806,0
142,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.129688,0.167841,1
143,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.287304,0.142576,1
144,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.132617,0.120658,1
145,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.232537,0.166169,1
146,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.533909,0.126257,0
147,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.142596,0.145643,0
148,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.184434,0.17725,1
149,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.285989,0.240245,0
150,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.352654,0.098183,1
151,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.156309,0.228453,1
152,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.043436,0.109953,1
153,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.235781,0.216961,0
154,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.295282,0.136026,1
155,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.170196,0.155744,1
156,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.063615,0.219726,0
157,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.321671,0.163168,1
158,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.206184,0.20491,0
159,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.078447,0.059667,0
160,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.149905,0.169935,1
161,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.2392,0.224351,0
162,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.207563,0.201871,0
163,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.42914,0.107429,1
164,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.143776,0.130488,0
165,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.257876,0.136088,0
166,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.170511,0.221027,0
167,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.310785,0.215447,1
168,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.503264,0.15817,1
169,DISAGREEMENT,SUBJECTIVE,90,NONIRONIC,0.089782,0.275306,1
170,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.256792,0.211078,1
171,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.163903,0.371577,1
172,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.217274,0.138114,0
173,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.352637,0.267692,0
174,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.158807,0.101215,1
175,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.100083,0.107344,0
176,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.325054,0.214255,0
177,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.070659,0.104294,0
178,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.298115,0.150629,1
179,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.126281,0.174423,0
180,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.193551,0.236193,0
181,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.271,0.176363,1
182,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.42426,0.174947,0
183,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.088604,0.108542,1
184,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.051168,0.073467,1
185,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.211078,0.114325,0
186,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.247117,0.196482,0
187,DISAGREEMENT,OBJECTIVE,92,NONIRONIC,0.130422,0.155586,1
188,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.230388,0.191232,1
189,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.287342,0.18298,1
190,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.128014,0.232353,1
191,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.113712,0.288588,0
192,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.215624,0.188459,0
193,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.226109,0.164107,1
194,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.206422,0.43733,0
195,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.312866,0.150165,0
196,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.099162,0.140232,1
197,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.152117,0.15949,1
198,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.245632,0.197859,0
199,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.307146,0.115668,0
200,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.05882,0.0501,1
201,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.38432,0.190884,1
202,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.151956,0.152954,1
203,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.080843,0.288661,0
204,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.213941,0.165538,0
205,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.382506,0.18632,0
206,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.102497,0.192681,0
207,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.258068,0.217589,0
208,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.289191,0.18086,1
209,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.315875,0.068425,1
210,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.526698,0.188309,1
211,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.096828,0.122938,0
212,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.242574,0.158831,1
213,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.390279,0.142715,1
214,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.061463,0.112094,0
215,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.220801,0.240416,0
216,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.405202,0.175364,0
217,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.193809,0.197621,0
218,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.253773,0.180955,1
219,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.110683,0.129076,1
220,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.306648,0.205764,0
221,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.172027,0.209974,0
222,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.36239,0.170858,0
223,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.106212,0.143467,1
224,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.314484,0.170458,1
225,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.286723,0.174913,1
226,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.22415,0.169082,0
227,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.102921,0.132848,0
228,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.293513,0.148374,0
229,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.189039,0.18612,0
230,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.180976,0.259671,0
231,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.058385,0.068424,1
232,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.295968,0.159958,0
233,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.191492,0.135902,1
234,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.154652,0.262083,0
235,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.11618,0.255463,1
236,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.154135,0.164411,1
237,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.101641,0.130119,1
238,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.187939,0.079432,1
239,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.157702,0.27383,0
240,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.165563,0.187438,0
241,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.230314,0.126103,1
242,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.09901,0.097111,0
243,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.128369,0.116807,0
244,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.24222,0.275952,0
245,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.336263,0.168527,1
246,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.300036,0.214224,1
247,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.213985,0.245318,1
248,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.145272,0.13894,0
249,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.226879,0.120307,0
250,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.316512,0.179418,0
251,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.211143,0.134784,0
252,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.090016,0.105915,1
253,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.343468,0.123034,1
254,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.152144,0.142947,1
255,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.233846,0.270422,0
256,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.137115,0.215773,0
257,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.12639,0.190657,0
258,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.095935,0.107493,1
259,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.343245,0.14062,0
260,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.323889,0.18258,1
261,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.268191,0.171631,0
262,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.05296,0.127305,1
263,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.17213,0.11157,0
264,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.140627,0.228304,0
265,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.305712,0.197458,0
266,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.210224,0.217503,1
267,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.167381,0.251741,1
268,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.329706,0.173328,0
269,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.231035,0.242368,1
270,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.394147,0.171642,1
271,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.293469,0.217484,1
272,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.463046,0.181383,0
273,DISAGREEMENT,OBJECTIVE,91,NONIRONIC,0.488437,0.127657,1
274,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.398082,0.168237,1
275,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.360838,0.205882,1
276,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.677744,0.04833,1
277,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.12603,0.069112,1
278,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.295293,0.212274,0
279,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.085768,0.214309,0
280,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.233488,0.234667,0
281,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.259889,0.159316,1
282,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.45234,0.155192,1
283,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.40095,0.136677,1
284,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.05672,0.124671,0
285,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.137592,0.173254,1
286,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.344441,0.143495,1
287,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.346523,0.200018,0
288,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.184494,0.218542,1
289,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.148996,0.220958,0
290,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.244246,0.248401,1
291,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.211838,0.178364,1
292,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.15745,0.123497,1
293,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.211515,0.265592,0
294,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.513369,0.184196,1
295,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.552827,0.082961,1
296,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.259033,0.109782,0
297,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.292735,0.116461,1
298,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.107387,0.154728,1
299,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.099233,0.131832,1
300,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.154263,0.123569,1
301,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.584971,0.111346,1
302,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.12883,0.241145,0
303,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.172599,0.188695,1
304,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.229452,0.12196,1
305,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.085766,0.092612,1
306,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.187088,0.169811,1
307,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.353403,0.192475,1
308,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.304923,0.123364,1
309,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.287155,0.184935,0
310,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.172471,0.246208,0
311,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.349534,0.176658,0
312,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.429946,0.15139,1
313,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.21317,0.127554,0
314,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.120106,0.239932,0
